rank,name,pos,team,composite_half_ppr,ppg_half_ppr,games,production_score_half_ppr,opportunity_score,oline_score,qb_quality_score,sos_score,durability_score,touches,targets,snaps
49,Chase Brown,RB,CIN,58.4,14.59,17,66.5,71.2,40.6,52.4,0.4532,89.5,301.0,88.0,700.0
50,Ja'Marr Chase,WR,CIN,58.36,14.77,17,75.1,74.6,40.6,52.4,0.4532,46.0,128.0,185.0,919.0
51,DeVonta Smith,WR,PHI,58.17,9.61,17,47.3,68.2,96.9,65.4,0.4726,100.0,77.0,113.0,879.0
52,Alec Pierce,WR,IND,58.07,10.65,15,52.9,67.7,90.6,57.2,0.4758,100.0,47.0,84.0,769.0
53,Chris Olave,WR,NO,57.86,13.69,16,69.2,70.2,53.1,44.1,0.4565,80.8,101.0,156.0,887.0
54,Sam Darnold,QB,SEA,57.84,14.67,17,65.2,77.8,56.2,30.4,0.521,100.0,35.0,0,1026.0
55,Jaxson Dart,QB,NYG,57.78,16.44,15,73.6,64.4,31.2,53.8,0.5145,100.0,86.0,0,699.0
56,Rico Dowdle,RB,PIT,57.16,11.58,17,52.0,65.7,59.4,29.8,0.5016,100.0,275.0,50.0,591.0
57,George Kittle,TE,SF,57.08,8.31,16,53.3,44.6,71.9,79.3,0.4694,100.0,58.0,69.0,554.0
58,Jaylen Warren,RB,PIT,57.07,12.32,16,55.5,60.0,59.4,29.8,0.5016,100.0,251.0,45.0,461.0
59,Jake Ferguson,TE,DAL,56.92,8.65,17,55.8,60.5,50.0,65.2,0.5371,97.0,83.0,102.0,753.0
60,Jordan Love,QB,GB,56.86,15.07,16,67.1,100.0,15.6,41.6,0.5242,100.0,47.0,0,894.0
61,Ashton Jeanty,RB,LV,56.82,12.8,17,57.9,90.5,46.9,0.0,0.4887,79.5,321.0,73.0,711.0
62,Travis Etienne,RB,NO,56.74,13.88,17,63.1,55.7,53.1,44.1,0.4565,92.0,296.0,52.0,657.0
63,Ladd McConkey,WR,LAC,56.53,8.7,17,42.4,75.1,81.2,62.8,0.5113,100.0,66.0,106.0,838.0
64,Khalil Shakir,WR,BUF,56.48,7.67,17,36.9,46.5,84.4,100.0,0.4919,100.0,73.0,95.0,635.0
65,Quentin Johnston,WR,LAC,56.36,9.71,15,47.8,64.8,81.2,62.8,0.5113,100.0,53.0,85.0,723.0
66,CeeDee Lamb,WR,DAL,56.23,11.67,14,58.4,51.0,50.0,65.2,0.5371,100.0,76.0,117.0,707.0
67,Michael Wilson,WR,ARI,56.18,10.68,17,53.1,71.3,34.4,57.8,0.55,100.0,78.0,126.0,872.0
68,TreVeyon Henderson,RB,NE,56.14,11.1,17,49.6,48.1,62.5,81.9,0.479,100.0,215.0,42.0,477.0
69,Rome Odunze,WR,CHI,55.92,9.55,13,47.0,59.8,87.5,65.4,0.5306,100.0,44.0,90.0,733.0
70,Josh Jacobs,RB,GB,55.75,14.61,15,66.6,77.6,15.6,41.6,0.5242,100.0,270.0,44.0,554.0
71,Deebo Samuel,WR,SF,55.48,9.51,16,46.8,48.0,71.9,79.3,0.4694,100.0,89.0,99.0,664.0
72,Colby Parkinson,TE,LAR,55.43,7.22,15,45.6,48.5,68.8,81.4,0.5339,100.0,43.0,56.0,558.0
73,Tee Higgins,WR,CIN,55.41,12.14,15,60.9,57.7,40.6,52.4,0.4532,100.0,59.0,98.0,710.0
74,Dawson Knox,TE,BUF,55.38,5.04,17,30.1,52.9,84.4,100.0,0.4919,100.0,36.0,49.0,649.0
75,Kyle Monangai,RB,CHI,55.35,8.1,17,35.1,45.0,87.5,65.4,0.5306,100.0,187.0,30.0,455.0
76,Romeo Doubs,WR,NE,54.97,8.11,17,39.2,58.5,62.5,81.9,0.479,100.0,55.0,85.0,780.0
77,Breece Hall,RB,NYJ,54.92,11.85,16,53.3,78.2,37.5,14.9,0.4597,100.0,279.0,48.0,640.0
78,Jaylen Waddle,WR,DEN,54.86,10.13,16,50.1,49.9,100.0,61.5,0.4823,100.0,66.0,100.0,724.0
79,Theo Johnson,TE,NYG,54.82,7.02,15,44.2,84.9,31.2,53.8,0.5145,100.0,45.0,74.0,872.0
80,Rhamondre Stevenson,RB,NE,54.54,11.63,14,52.2,36.2,62.5,81.9,0.479,100.0,162.0,37.0,505.0
81,Emeka Egbuka,WR,TB,54.48,9.66,17,47.6,69.3,93.8,46.1,0.5274,100.0,65.0,127.0,886.0
82,Oronde Gadsden,TE,LAC,54.28,7.13,15,45.0,59.3,81.2,62.8,0.5113,100.0,49.0,69.0,595.0
83,C.J. Stroud,QB,HOU,54.09,15.47,14,69.0,60.6,18.8,36.7,0.5177,100.0,48.0,0,824.0
84,Juwan Johnson,TE,NO,53.97,8.32,17,53.4,70.3,53.1,44.1,0.4565,97.0,77.0,102.0,799.0
85,Justin Jefferson,WR,MIN,53.96,9.38,17,46.1,80.9,65.6,42.2,0.4952,98.8,86.0,141.0,890.0
86,Cade Otton,TE,TB,53.65,5.79,16,35.4,86.5,93.8,46.1,0.5274,100.0,59.0,81.0,993.0
87,J.J. McCarthy,QB,MIN,53.62,13.74,10,60.8,46.0,65.6,42.2,0.4952,100.0,37.0,0,480.0
88,Tua Tagovailoa,QB,ATL,53.59,12.55,14,55.2,61.5,75.0,22.6,0.5081,100.0,20.0,0,778.0
89,Xavier Worthy,WR,KC,53.18,6.35,14,29.8,62.0,78.1,82.0,0.4855,100.0,53.0,73.0,645.0
90,Bryce Young,QB,CAR,53.12,14.31,16,63.5,72.5,21.9,27.6,0.5435,100.0,54.0,0,964.0
91,Kyle Pitts,TE,ATL,53.1,9.81,17,64.0,75.4,75.0,22.6,0.5081,73.0,88.0,118.0,903.0
92,Jakobi Meyers,WR,JAX,53.0,8.64,16,42.1,61.1,9.4,77.6,0.5048,100.0,80.0,110.0,824.0
93,Jauan Jennings,WR,MIN,52.99,9.72,15,47.9,72.3,65.6,42.2,0.4952,100.0,55.0,90.0,795.0
94,Drake London,WR,ATL,52.88,13.99,12,70.9,48.7,75.0,22.6,0.5081,100.0,68.0,112.0,650.0
95,Jayden Daniels,QB,WAS,52.81,16.75,7,75.0,36.4,3.1,47.0,0.5403,100.0,58.0,0,405.0
96,Philip Rivers,QB,FA,52.73,11.55,3,50.5,0.0,50.0,50.0,50.0,100.0,2.0,0,172.0
97,Jacoby Brissett,QB,ARI,52.66,13.85,17,61.3,65.3,34.4,57.8,0.55,100.0,38.0,0,757.0
98,J.K. Dobbins,RB,DEN,52.53,6.49,17,27.3,31.1,100.0,61.5,0.4823,100.0,164.0,14.0,340.0
99,Keon Coleman,WR,BUF,52.38,6.42,13,30.2,37.7,84.4,100.0,0.4919,100.0,38.0,59.0,515.0
100,Harold Fannin,TE,CLE,52.29,9.4,16,61.1,100.0,6.2,8.0,0.4661,89.5,79.0,107.0,786.0
101,Parker Washington,WR,JAX,52.14,9.73,16,48.0,46.5,9.4,77.6,0.5048,100.0,65.0,95.0,627.0
102,Michael Pittman,WR,PIT,52.01,9.55,17,47.0,82.9,59.4,29.8,0.5016,100.0,80.0,111.0,860.0
103,Zach Charbonnet,RB,SEA,51.93,10.71,16,47.8,48.9,56.2,30.4,0.521,100.0,204.0,24.0,489.0
104,Nico Collins,WR,HOU,51.59,12.71,15,64.0,54.3,18.8,36.7,0.5177,100.0,73.0,120.0,778.0
105,Omarion Hampton,RB,LAC,51.48,7.48,16,32.1,37.1,81.2,62.8,0.5113,100.0,156.0,35.0,384.0
106,Geno Smith,QB,NYJ,51.4,12.73,15,56.0,73.6,37.5,14.9,0.4597,100.0,41.0,0,863.0
107,Rashee Rice,WR,KC,51.35,7.73,16,37.2,39.9,78.1,82.0,0.4855,100.0,58.0,78.0,415.0
108,Kimani Vidal,RB,LAC,51.31,6.87,16,29.2,40.6,81.2,62.8,0.5113,100.0,171.0,22.0,467.0
109,Troy Franklin,WR,DEN,50.72,8.51,17,41.4,44.4,100.0,61.5,0.4823,100.0,70.0,104.0,645.0
110,Keenan Allen,WR,IND,50.65,8.36,17,40.6,52.1,90.6,57.2,0.4758,100.0,81.0,122.0,592.0
111,Brian Thomas,WR,JAX,50.4,8.2,14,39.7,52.3,9.4,77.6,0.5048,100.0,51.0,91.0,706.0
112,Brock Bowers,TE,LV,50.14,10.3,14,67.5,70.6,46.9,0.0,0.4887,100.0,66.0,86.0,605.0
113,DK Metcalf,WR,PIT,49.87,9.28,17,45.5,74.8,59.4,29.8,0.5016,100.0,61.0,99.0,776.0
114,Justin Fields,QB,KC,49.63,11.05,13,48.1,50.8,78.1,82.0,0.4855,100.0,71.0,1.0,501.0
115,David Njoku,TE,LAC,49.43,5.82,12,35.7,51.3,81.2,62.8,0.5113,100.0,33.0,48.0,514.0
116,Jordan Mason,RB,MIN,48.6,7.62,16,32.8,42.4,65.6,42.2,0.4952,100.0,173.0,16.0,386.0
117,Cam Ward,QB,TEN,48.59,11.39,17,49.7,98.8,12.5,4.3,0.4984,100.0,39.0,0,1002.0
118,Cole Kmet,TE,CHI,48.48,3.98,16,22.6,65.3,87.5,65.4,0.5306,100.0,30.0,48.0,719.0
119,Mark Andrews,TE,BAL,48.28,6.29,17,39.0,66.4,28.1,49.5,0.4629,100.0,58.0,70.0,600.0
120,T.J. Hockenson,TE,MIN,48.26,5.82,15,35.7,70.0,65.6,42.2,0.4952,100.0,52.0,66.0,691.0
121,Ricky Pearsall,WR,SF,48.2,7.06,10,33.6,34.7,71.9,79.3,0.4694,100.0,38.0,53.0,480.0
122,Blake Corum,RB,LAR,48.14,6.95,17,29.6,31.9,68.8,81.4,0.5339,100.0,153.0,14.0,307.0
